insuranceId,providerType,providerName,ceoName,email,mobile,city,address,region,neighborhood
63ea07940a1851328d4faddd,Insurance,Ratan Lal,Jivan Khan,ratan@gmail.com,9944556622,63b31be2c6aafe59889de472,"Nagpur",63b31086c6aafe59889de456,Near Hill
63ea07940a1851328d4faddd,Hospital,Shivam Lal,Jivan Khan,ratan@gmail.com,9944556622,63b31be2c6aafe59889de472,"Nagpur",63b31086c6aafe59889de456,Near Hill
63ea07940a1851328d4faddd,Hospital,Khunal Lal,Jivan Khan,ratan@gmail.com,9944556622,63b31be2c6aafe59889de472,"Nagpur",63b31086c6aafe59889de456,Near Hill
63ea07940a1851328d4faddd,Hospital,Ratan Lal,Jivan Khan,ratan@gmail.com,9944556622,63b31be2c6aafe59889de472,"Nagpur",63b31086c6aafe59889de456,Near Hill
63e3b6e1de1f5546d81772eb,Pharmacy,sad,sad,asd,ads,sd,"asd",asd,sad
63e3b6e1de1f5546d81772eb,Insurance,dsf,sfdsa,dsf,sdf,df,"df",df,df
63ea07940a1851328d4faddd,Hospital,Amit Shaw,Nirab Shaw,amit@gmail.com,9988665522,Pune,"Pune, India",Nagpur,Near Shiv Mandir
63ea07940a1851328d4faddd,Hospital,Amit Shaw,Nirab Shaw,amit@gmail.com,9988665522,Pune,"Pune, India",Nagpur,Near Shiv Mandir
63e3b8d4de1f5546d8177350,Hospital,sadsasd,sdd,ssfss,ss,s,"sd",sddsd,sd
63e3b8d4de1f5546d8177350,Hospital,As,as,asd,asd,sad,"sd",sad,sd
63ea07940a1851328d4faddd,Hospital,Amit Shaw,Nirab Shaw,amit@gmail.com,9988665522,Pune,"Pune, India",Nagpur,Near Shiv Mandir
63ea07940a1851328d4faddd,Hospital,Amit Shaw,Nirab Shaw,amit@gmail.com,9988665522,Pune,"Pune, India",Nagpur,Near Shiv Mandir
63cfcd815a53a2b7e1e12b57,Pharmacy,ff,Ajay Tiwari,as@gmail.com,8888,Delhi,"Mohali",Punjab,Himachal Pradesh 
63cfcd815a53a2b7e1e12b57,Pharmacy,ff,ff,ff,ff,ff,"ff",ff,ff
63cfcd815a53a2b7e1e12b57,Pharmacy,Somu,Ajay Tiwari,dd@gmail.com,555,Nagpur,"Nagpur, Maharashtra",Pune,Padoli
63e3b6e1de1f5546d81772eb,Pharmacy,Ron,test2,test@gmail.com,898989,xyz,"XYZ",XYZ,vvv
63ea07940a1851328d4faddd,Hospital,Amit Shaw,Nirab Shaw,amit@gmail.com,9988665522,Pune,"Pune, India",Nagpur,Near Shiv Mandir
